Customer Name,Category,Sales,Profit
Claire Gute,Furniture,261.96,41.9136
Claire Gute,Furniture,731.94,219.582
Darrin Van Huff,Office Supplies,14.62,6.8714
Sean O'Donnell,Furniture,957.5775,-383.031
Sean O'Donnell,Office Supplies,22.368,2.5164
Brosina Hoffman,Furniture,48.86,14.1694
Brosina Hoffman,Office Supplies,7.28,1.9656
Brosina Hoffman,Technology,907.152,90.7152
Brosina Hoffman,Office Supplies,18.504,5.7825
Brosina Hoffman,Office Supplies,114.9,34.47
Brosina Hoffman,Furniture,1706.184,85.3092
Brosina Hoffman,Technology,911.424,68.3568
Andrew Allen,Office Supplies,15.552,5.4432
Irene Maddox,Office Supplies,407.976,132.5922
Harold Pawlan,Office Supplies,68.81,-123.858
Harold Pawlan,Office Supplies,2.544,-3.816
Pete Kriz,Office Supplies,665.88,13.3176
Alejandro Grove,Office Supplies,55.5,9.99
Zuschuss Donatelli,Office Supplies,8.56,2.4824
Zuschuss Donatelli,Technology,213.48,16.011
Zuschuss Donatelli,Office Supplies,22.72,7.384
Ken Black,Office Supplies,19.46,5.0596
Ken Black,Office Supplies,60.34,15.6884
Sandra Flanagan,Furniture,71.372,-1.0196
Emily Burns,Furniture,1044.63,240.2649
Eric Hoffmann,Office Supplies,11.648,4.2224
Eric Hoffmann,Technology,90.57,11.7741
Tracy Blumstein,Furniture,3083.43,-1665.0522
Tracy Blumstein,Office Supplies,9.618,-7.0532
Tracy Blumstein,Furniture,124.2,15.525
Tracy Blumstein,Office Supplies,3.264,1.1016
Tracy Blumstein,Office Supplies,86.304,9.7092
Tracy Blumstein,Office Supplies,"Executive Red\"",0.7
Tracy Blumstein,Office Supplies,15.76,3.546
Matt Abelman,Office Supplies,29.472,9.9468
Gene Hale,Technology,1097.544,123.4737
Gene Hale,Furniture,190.92,-147.963
Steve Nguyen,Office Supplies,113.328,35.415
Steve Nguyen,Furniture,532.3992,-46.9764
Steve Nguyen,Furniture,212.058,-15.147
Steve Nguyen,Technology,371.168,41.7564
Linda Cazamias,Technology,147.168,16.5564
Ruben Ausman,Office Supplies,77.88,3.894
Erin Smith,Office Supplies,95.616,9.5616
Odella Nelson,Technology,45.98,19.7714
Odella Nelson,Office Supplies,17.46,8.2062
Patrick O'Donnell,Office Supplies,211.96,8.4784
Lena Hernandez,Technology,45,4.95
Lena Hernandez,Technology,21.8,6.104
Darren Powers,Office Supplies,38.22,17.9634
Darren Powers,Office Supplies,75.18,35.3346
Darren Powers,Furniture,6.16,2.9568
Darren Powers,Furniture,89.99,17.0981
Janet Molinari,Office Supplies,15.26,6.2566
Janet Molinari,Technology,1029.95,298.6855
Ted Butterfield,Office Supplies,208.56,52.14
Ted Butterfield,Office Supplies,32.4,15.552
Ted Butterfield,Furniture,319.41,7.098
Ted Butterfield,Office Supplies,14.56,6.9888
Ted Butterfield,Technology,30,3.3
Ted Butterfield,Office Supplies,48.48,16.362
Ted Butterfield,Office Supplies,1.68,0.84
Kunst Miller,Technology,13.98,6.1512
Kunst Miller,Office Supplies,25.824,9.3612
Kunst Miller,Office Supplies,146.73,68.9631
Kunst Miller,Furniture,79.76,22.3328
Paul Stevenson,Furniture,213.115,-15.2225
Brendan Sweed,Office Supplies,1113.024,111.3024
Brendan Sweed,Technology,167.968,62.988
Karen Daniels,Office Supplies,75.88,35.6636
Henry MacAllister,Office Supplies,4.616,1.731
Tracy Blumstein,Office Supplies,19.05,8.763
Joel Eaton,Furniture,831.936,-114.3912
Joel Eaton,Furniture,97.04,1.213
Joel Eaton,Office Supplies,72.784,-18.196
Ken Brennan,Office Supplies,1.248,-1.9344
Ken Brennan,Furniture,"Black\"",0.6
Ken Brennan,Office Supplies,27.24,2.724
Joel Eaton,Furniture,19.3,-14.475
Stewart Carmichael,Office Supplies,208.16,56.2032
Stewart Carmichael,Office Supplies,16.74,8.0352
Duane Noonan,Office Supplies,14.9,4.172
Duane Noonan,Office Supplies,21.39,6.2031
Julie Creighton,Office Supplies,200.984,62.8075
Christopher Schild,Office Supplies,230.376,-48.9549
Patrick O'Donnell,Furniture,301.96,33.2156
Paul Gonzalez,Technology,19.99,6.7966
Paul Gonzalez,Office Supplies,6.16,2.9568
Gary Mitchum,Office Supplies,158.368,13.8572
Jim Sink,Office Supplies,20.1,6.633
Jim Sink,Technology,73.584,8.2782
Jim Sink,Office Supplies,6.48,3.1104
Karl Braun,Office Supplies,12.96,6.2208
Karl Braun,Furniture,53.34,16.5354
Karl Braun,Office Supplies,32.96,16.1504
Roger Barcio,Office Supplies,5.682,-3.788
Parhena Norris,Furniture,96.53,40.5426
Katherine Ducich,Office Supplies,51.312,17.9592
Elpida Rittenbach,Office Supplies,77.88,22.5852
Rick Bensley,Office Supplies,64.624,22.6184
Rick Bensley,Technology,95.976,-10.7973
Rick Bensley,Office Supplies,1.788,-3.0396
Gary Zandusky,Office Supplies,23.92,11.7208
Lena Cacioppo,Technology,238.896,-26.8758
Lena Cacioppo,Furniture,102.36,-3.8385
Lena Cacioppo,Office Supplies,Black,3.0
Janet Martin,Technology,74.112,17.6016
Janet Martin,Technology,27.992,2.0994
Janet Martin,Office Supplies,3.304,1.0738
Pete Armstrong,Technology,339.96,67.992
Cynthia Voltz,Furniture,41.96,10.9096
Clay Ludtke,Office Supplies,75.96,22.788
Clay Ludtke,Office Supplies,27.24,13.3476
Ryan Crowe,Office Supplies,40.096,14.5348
Ryan Crowe,Office Supplies,4.72,1.652
Ryan Crowe,Office Supplies,23.976,7.4925
Ryan Crowe,Office Supplies,130.464,44.0316
Dave Kipp,Furniture,787.53,165.3813
Greg Guthrie,Office Supplies,157.794,-115.7156
Steven Cartwright,Furniture,47.04,18.3456
Steven Cartwright,Office Supplies,30.84,13.878
Steven Cartwright,Office Supplies,226.56,63.4368
Steven Cartwright,Office Supplies,115.02,51.759
Steven Cartwright,Technology,68.04,19.7316
Alan Dominguez,Furniture,600.558,-8.5794
Philip Fox,Furniture,617.7,-407.682
Troy Staebel,Office Supplies,2.388,-1.8308
Troy Staebel,Office Supplies,243.992,30.499
Lindsay Shagiari,Furniture,81.424,-9.1602
Lindsay Shagiari,Furniture,238.56,26.2416
Dorothy Wardle,Technology,59.97,-11.994
Dorothy Wardle,Office Supplies,78.304,29.364
Dorothy Wardle,Office Supplies,21.456,6.9732
Lena Creighton,Office Supplies,20.04,9.6192
Lena Creighton,Office Supplies,35.44,16.6568
Lena Creighton,Office Supplies,11.52,3.456
Lena Creighton,Office Supplies,4.02,1.9698
Lena Creighton,Office Supplies,76.176,26.6616
Lena Creighton,Office Supplies,65.88,18.4464
Lena Creighton,Furniture,43.12,20.6976
Jonathan Doherty,Furniture,82.8,10.35
Sally Hughsby,Office Supplies,8.82,2.3814
Sally Hughsby,Office Supplies,10.86,5.1042
Sally Hughsby,Office Supplies,143.7,68.976
Sandra Glassco,Office Supplies,839.43,218.2518
Helen Andreada,Office Supplies,671.93,20.1579
Maureen Gastineau,Furniture,93.888,12.9096
Justin Ellison,Technology,384.45,103.8015
Justin Ellison,Technology,149.97,5.9988
Justin Ellison,Furniture,1951.84,585.552
Justin Ellison,Office Supplies,171.55,80.6285
Tamara Willingham,Office Supplies,157.92,17.766
Tamara Willingham,Technology,203.184,15.2388
Stephanie Phelps,Office Supplies,58.38,26.271
Stephanie Phelps,Office Supplies,105.52,48.5392
Stephanie Phelps,Office Supplies,80.88,21.0288
Neil Knudson,Office Supplies,6.63,1.7901
Dave Brooks,Furniture,457.568,51.4764
Nora Paige,Office Supplies,14.62,6.8714
Nora Paige,Technology,944.93,236.2325
Ted Trevino,Office Supplies,5.98,2.691
Eric Murdock,Technology,54.384,1.3596
Ruben Dartt,Office Supplies,28.4,13.348
Max Jones,Office Supplies,27.68,9.688
Becky Martin,Office Supplies,9.936,2.7324
Becky Martin,Technology,8159.952,-1359.992
Becky Martin,Office Supplies,275.928,-58.6347
Becky Martin,Furniture,1740.06,-24.858
Becky Martin,Office Supplies,32.064,6.8136
Becky Martin,Office Supplies,177.98,-453.849
Becky Martin,Technology,143.976,8.9985
Chad Sievert,Office Supplies,20.94,9.8418
Chad Sievert,Office Supplies,110.96,53.2608
Chad Sievert,Furniture,340.144,21.259
Jennifer Braxton,Office Supplies,52.448,-131.12
Jennifer Braxton,Office Supplies,20.16,6.552
Shirley Jackson,Office Supplies,97.264,-243.16
Joel Eaton,Furniture,396.802,-11.3372
Joel Eaton,Office Supplies,15.88,-3.7715
Jim Kriz,Office Supplies,3.28,1.4104
David Kendrick,Office Supplies,24.816,1.8612
David Kendrick,Technology,408.744,76.6395
Robert Marley,Technology,503.96,131.0296
Robert Marley,Technology,149.95,41.986
Robert Marley,Technology,29,7.25
Sally Knutson,Office Supplies,7.16,3.4368
Frank Merwin,Technology,176.8,22.984
Alice McCarthy,Office Supplies,37.224,3.7224
Alice McCarthy,Office Supplies,20.016,6.255
Mark Packer,Furniture,899.136,112.392
Mark Packer,Technology,71.76,20.0928
Mark Packer,Office Supplies,51.84,24.8832
Mark Packer,Furniture,626.352,46.9764
Mark Packer,Office Supplies,19.9,6.567
Mary Zewe,Office Supplies,14.28,6.7116
Cassandra Brandow,Office Supplies,7.408,1.2038
Cassandra Brandow,Office Supplies,6.048,1.5876
Valerie Mitchum,Office Supplies,46.26,12.0276
